Date,Price
1395/08/09,1495980
1395/08/10,1505820
1395/08/11,1519660
1395/08/12,1507050
1395/08/14,1518890
1395/08/15,1525190
1395/08/16,1508590
1395/08/17,1506440
1395/08/18,1520890
1395/08/19,1513810
1395/08/21,1470470
1395/08/22,1477840
1395/08/23,1477840
1395/08/24,1477840
1395/08/25,1479070
1395/08/26,1479070
1395/08/28,1462470
1395/08/30,1470160
1395/09/01,1476310
1395/09/02,1476000
1395/09/03,1469540
1395/09/05,1471390
1395/09/06,1489830
1395/09/08,1505820
1395/09/10,1480920
1395/09/12,1499060
1395/09/13,1507050
1395/09/14,1502440
1395/09/15,1498140
1395/09/16,1500900
1395/09/17,1500590
1395/09/19,1496910
1395/09/21,1503670
1395/09/22,1508590
1395/09/23,1513810
1395/09/24,1501210
1395/09/26,1498440
1395/09/27,1499060
1395/09/28,1499060
1395/09/29,1500290
1395/09/30,1508590
1395/10/01,1503980
1395/10/03,1511970
1395/10/04,1520890
1395/10/05,1537490
1395/10/06,1547330
1395/10/07,1532880
1395/10/08,1527030
1395/10/10,1498440
1395/10/11,1499670
1395/10/12,1507970
1395/10/13,1512890
1395/10/14,1512580
1395/10/15,1519660
1395/10/17,1526110
1395/10/18,1528260
1395/10/19,1532570
1395/10/20,1534110
1395/10/21,1534110
1395/10/22,1547940
1395/10/24,1530110
1395/10/25,1539020
1395/10/26,1535640
1395/10/27,1537790
1395/10/28,1535340
1395/10/29,1531340
1395/11/01,1520270
1395/11/02,1529490
1395/11/03,1532880
1395/11/04,1533180
1395/11/05,1527030
1395/11/06,1526730
1395/11/08,1519190
1395/11/09,1520270
1395/11/10,1506440
1395/11/11,1517200
1395/11/12,1515970
1395/11/13,1523350
1395/11/15,1532010
1395/11/16,1532880
1395/11/17,1540560
1395/11/18,1535030
1395/11/19,1539330
1395/11/20,1543330
1395/11/22,1539090
1395/11/23,1539020
1395/11/24,1529800
1395/11/25,1530110
1395/11/26,1530110
1395/11/27,1534720
1395/11/29,1532630
1395/11/30,1531950
1395/12/01,1528570
1395/12/02,1529800
1395/12/03,1534720
1395/12/04,1534110
1395/12/05,1537180
1395/12/06,1546480
1395/12/07,1549780
1395/12/08,1547020
1395/12/09,1547940
1395/12/10,1545790
1395/12/13,1537550
1395/12/14,1536870
1395/12/15,1530420
1395/12/16,1514120
1395/12/17,1501210
1395/12/18,1511050
1395/12/20,1500310
1395/12/21,1504900
1395/12/22,1506440
1395/12/23,1504590
1395/12/24,1502750
1395/12/25,1520270
1395/12/27,1535700
1395/12/28,1537180
1396/01/04,1541790
1396/01/05,1547940
1396/01/06,1560240
1396/01/07,1560240
1396/01/08,1557160
1396/01/09,1556240
1396/01/11,1555100
1396/01/13,1547020
1396/01/14,1553170
1396/01/15,1549480
1396/01/16,1551630
1396/01/18,1555100
1396/01/19,1556860
1396/01/20,1555010
1396/01/21,1561160
1396/01/22,1561160
1396/01/23,1567310
1396/01/25,1586490
1396/01/26,1586060
1396/01/27,1584220
1396/01/28,1577760
1396/01/29,1573760
1396/01/30,1570380
1396/02/01,1575570
1396/02/02,1576220
1396/02/03,1569770
1396/02/05,1561160
1396/02/06,1561160
1396/02/08,1563560
1396/02/09,1567310
1396/02/10,1561160
1396/02/11,1550400
1396/02/12,1549780
1396/02/13,1536260
1396/02/15,1510770
1396/02/16,1517200
1396/02/17,1522120
1396/02/18,1514120
1396/02/19,1515040
1396/02/20,1515040
1396/02/22,1519700
1396/02/23,1519040
1396/02/24,1519350
1396/02/25,1528260
1396/02/26,1548250
1396/02/27,1543640
1396/02/29,1531390
1396/02/30,1534720
1396/02/31,1535030
1396/03/01,1538100
1396/03/02,1531650
1396/03/03,1531340
1396/03/05,1529090
1396/03/06,1531340
1396/03/07,1527650
1396/03/08,1521190
1396/03/09,1517810
1396/03/10,1519660
1396/03/12,1523080
1396/03/15,1537790
1396/03/16,1537180
1396/03/17,1531950
1396/03/19,1522160
1396/03/20,1526110
1396/03/21,1523040
1396/03/22,1519660
1396/03/23,1528260
1396/03/24,1521810
1396/03/26,1523390
1396/03/27,1528570
1396/03/28,1521190
1396/03/29,1520270
1396/03/30,1520890
1396/03/31,1527960
1396/04/02,1537090
1396/04/03,1543330
1396/04/06,1543940
1396/04/07,1543940
1396/04/09,1547710
1396/04/10,1547020
1396/04/11,1534110
1396/04/12,1530720
1396/04/13,1527650
1396/04/14,1530720
1396/04/16,1515080
1396/04/17,1517500
1396/04/18,1514120
1396/04/19,1513200
1396/04/20,1517200
1396/04/21,1516270
1396/04/23,1515850
1396/04/24,1517810
1396/04/25,1519660
1396/04/26,1519040
1396/04/27,1519350
1396/04/30,1527700
1396/04/31,1531650
1396/05/01,1535340
1396/05/02,1533800
1396/05/03,1540870
1396/05/04,1553170
1396/05/06,1567720
1396/05/07,1574380
1396/05/08,1565460
1396/05/09,1573150
1396/05/10,1574990
1396/05/11,1576840
1396/05/13,1571100
1396/05/14,1568230
1396/05/15,1563930
1396/05/16,1568540
1396/05/17,1574380
1396/05/18,1579300
1396/05/20,1587260
1396/05/21,1584520
1396/05/22,1576220
1396/05/23,1570380
1396/05/24,1570080
1396/05/25,1580530
1396/05/27,1576030
1396/05/28,1581760
1396/05/29,1583300
1396/05/30,1583910
1396/05/31,1587290
1396/06/01,1592520
1396/06/03,1608960
1396/06/04,1614960
1396/06/05,1624800
1396/06/06,1637100
1396/06/07,1634940
1396/06/08,1648470
1396/06/10,1672680
1396/06/11,1687820
1396/06/12,1680750
1396/06/13,1671530
1396/06/14,1678600
1396/06/15,1684750
1396/06/17,1691460
1396/06/18,1688440
1396/06/19,1674600
1396/06/20,1671840
1396/06/21,1672450
1396/06/22,1666610
1396/06/24,1650830
1396/06/25,1639560
1396/06/26,1627870
1396/06/27,1618040
1396/06/28,1627870
1396/06/29,1601740
1396/06/31,1607120
1396/07/01,1618040
1396/07/02,1624800
1396/07/03,1621720
1396/07/04,1615880
1396/07/05,1617110
1396/07/07,1611430
1396/07/09,1609730
1396/07/10,1613120
1396/07/11,1622340
1396/07/12,1624800
1396/07/14,1636980
1396/07/15,1646320
1396/07/16,1676450
1396/07/17,1662920
1396/07/18,1660770
1396/07/19,1669380
1396/07/21,1658830
1396/07/22,1655240
1396/07/23,1654820
1396/07/24,1643740
1396/07/25,1641900
1396/07/26,1641280
1396/07/28,1627430
1396/07/29,1622500
1396/07/30,1635120
1396/08/01,1634820
1396/08/02,1635430
1396/08/03,1630810
1396/08/05,1655130
1396/08/06,1654820
1396/08/07,1652980
1396/08/08,1647440
1396/08/09,1655750
1396/08/10,1655750
1396/08/12,1650210
1396/08/13,1657900
1396/08/14,1665290
1396/08/15,1656670
1396/08/16,1668680
1396/08/17,1672060
1396/08/19,1658210
1396/08/20,1679140
1396/08/21,1681300
1396/08/22,1680680
1396/08/23,1672060
1396/08/24,1675140
1396/08/26,1688990
1396/08/27,1687150
1396/08/28,1671140
1396/08/29,1687150
1396/08/30,1692070
1396/09/01,1693920
1396/09/03,1696070
1396/09/04,1705000
1396/09/05,1712080
1396/09/06,1716080
1396/09/07,1726550
1396/09/08,1721010
1396/09/10,1734240
1396/09/11,1735170
1396/09/12,1749630
1396/09/13,1743480
1396/09/14,1739470
1396/09/15,1729620
1396/09/17,1711160
1396/09/18,1713620
1396/09/19,1712390
1396/09/20,1704690
1396/09/21,1703770
1396/09/22,1709920
1396/09/24,1709310
1396/09/25,1706230
1396/09/26,1708690
1396/09/27,1713620
1396/09/28,1715770
1396/09/29,1715770
1396/10/01,1727160
1396/10/02,1728700
1396/10/03,1730860
1396/10/04,1737010
1396/10/05,1747480
1396/10/06,1757020
1396/10/08,1791500
1396/10/09,1796730
1396/10/10,1826590
1396/10/11,1844440
1396/10/12,1867220
1396/10/13,1818890
1396/10/15,1813040
1396/10/16,1829360
1396/10/17,1829670
1396/10/18,1825970
1396/10/19,1845670
1396/10/20,1847830
1396/10/22,1881380
1396/10/23,1857680
1396/10/24,1869990
1396/10/25,1869370
1396/10/26,1885070
1396/10/27,1871840
1396/10/29,1896150
1396/10/30,1922320
1396/11/01,1922010
1396/11/02,1923550
1396/11/03,1931250
1396/11/04,1939250
1396/11/06,1917700
1396/11/07,1929710
1396/11/08,1920780
1396/11/09,1923550
1396/11/10,1940170
1396/11/11,1943870
1396/11/13,1963870
1396/11/14,1971570
1396/11/15,1977730
1396/11/16,1973720
1396/11/17,1966340
1396/11/18,1969410
1396/11/20,1985730
1396/11/21,1987270
1396/11/22,2037750
1396/11/23,2026360
1396/11/24,1995270
1396/11/25,1982650
1396/11/27,1946940
1396/11/28,1941400
1396/11/29,1924470
1396/12/01,1905390
1396/12/02,1918320
1396/12/03,1917700
1396/12/04,1936790
1396/12/05,1953720
1396/12/06,1992190
1396/12/07,1959260
1396/12/08,1965410
1396/12/09,1965110
1396/12/10,1981420
1396/12/11,1987880
1396/12/12,1986960
1396/12/13,1980500
1396/12/14,1997730
1396/12/15,1995890
1396/12/16,1998040
1396/12/17,2000810
1396/12/18,2000810
1396/12/19,2012510
1396/12/20,2026050
1396/12/21,2044830
1396/12/22,2040830
1396/12/23,2026360
1396/12/24,2024820
1396/12/25,2017750
1396/12/26,2030360
1396/12/27,2044830
1396/12/28,2044520
1397/01/01,2055300
1397/01/02,2070070
1397/01/03,2087000
1397/01/04,2128560
1397/01/05,2160880
1397/01/06,2127630
1397/01/07,2099010
1397/01/08,2118090
1397/01/09,2122400
1397/01/10,2123940
1397/01/13,2133170
1397/01/14,2135940
1397/01/15,2141790
1397/01/16,2141910
1397/01/17,2213210
1397/01/18,2262460
1397/01/19,2284000
1397/01/20,2104850
1397/01/21,2216590
1397/01/22,2180270
1397/01/23,2205200
1397/01/24,2220900
1397/01/25,2262460
1397/01/26,2273230
1397/01/27,2251070
1397/01/28,2255070
1397/01/29,2267690
1397/01/30,2264920
1397/01/31,2279390
1397/02/01,2259380
1397/02/02,2256300
1397/02/03,2284310
1397/02/04,2283390
1397/02/05,2299400
1397/02/06,2302780
1397/02/07,2313250
1397/02/08,2342490
1397/02/09,2396360
1397/02/10,2416060
1397/02/11,2490240
1397/02/12,2497940
1397/02/13,2513330
1397/02/14,2650310
1397/02/15,2621070
1397/02/16,2487780
1397/02/17,2522560
1397/02/18,2585970
1397/02/19,2660160
1397/02/20,2688480
1397/02/21,2628760
1397/02/22,2551810
1397/02/23,2452380
1397/02/24,2473900
1397/02/25,2471200
1397/02/26,2485900
1397/02/27,2469000
1397/02/28,2425600
1397/02/29,2441000
1397/02/30,2524700
1397/02/31,2496400
1397/03/01,2497900
1397/03/02,2541000
1397/03/03,2531500
1397/03/04,2522600
1397/03/05,2547200
1397/03/06,2573400
1397/03/07,2641100
1397/03/08,2625400
1397/03/09,2625400
1397/03/10,2610300
1397/03/11,2588800
1397/03/12,2627200
1397/03/13,2653400
1397/03/14,2668800
1397/03/15,2661100
1397/03/16,2655200
1397/03/17,2642600
1397/03/18,2687300
1397/03/19,2713400
1397/03/20,2728800
1397/03/21,2803900
1397/03/22,2826400
1397/03/23,2788500
1397/03/24,2751300
1397/03/25,2750400
1397/03/26,2808800
1397/03/27,2826400
1397/03/28,2897800
1397/03/29,2928900
1397/03/30,2945800
1397/03/31,2987100
1397/04/01,3189000
1397/04/02,3438300
1397/04/03,3147100
1397/04/04,3189000
1397/04/05,3190500
1397/04/06,3242900
1397/04/07,3263200
1397/04/08,3149000
1397/04/09,3264400
1397/04/10,3253000
1397/04/11,3202900
1397/04/12,3115100
1397/04/13,3038200
1397/04/14,3165600
1397/04/15,3133600
1397/04/16,3135100
1397/04/17,3121300
1397/04/18,3052600
1397/04/19,3012900
1397/04/20,3056600
1397/04/21,3043100
1397/04/22,3147400
1397/04/23,3135100
1397/04/24,3075700
1397/04/25,3153900
1397/04/26,3169300
1397/04/27,3238300
1397/04/28,3207500
1397/04/29,3362900
1397/04/30,3572200
1397/04/31,3672600
1397/05/01,3590700
1397/05/02,3583000
1397/05/03,3695400
1397/05/04,3696900
1397/05/05,3852300
