Date,Price
1394/03/19,62322.20
1394/03/22,62571.20
1394/03/23,62653.30
1394/03/24,62573.70
1394/03/25,62558.90
1394/03/26,63559.70
1394/03/29,63836.20
1394/03/30,63810.70
1394/03/31,64276.50
1394/04/01,64839.50
1394/04/02,64857.60
1394/04/05,64812.20
1394/04/06,64301.40
1394/04/07,64332.90
1394/04/08,64922.60
1394/04/09,64861.80
1394/04/12,65860.80
1394/04/13,65780.10
1394/04/14,66019.90
1394/04/15,66761.40
1394/04/19,66817.80
1394/04/20,67646.40
1394/04/21,69194.50
1394/04/22,69433.50
1394/04/23,68827.70
1394/04/28,68148.40
1394/04/29,68050.70
1394/04/30,67643.90
1394/05/02,67036.30
1394/05/03,66977.40
1394/05/04,66441.40
1394/05/05,66489.50
1394/05/06,66780.70
1394/05/09,66829.70
1394/05/10,66530.50
1394/05/11,66626.70
1394/05/12,66445.70
1394/05/13,66451
1394/05/16,66000.90
1394/05/17,65973.50
1394/05/18,65903.10
1394/05/20,65703.30
1394/05/23,65314.30
1394/05/24,65239.90
1394/05/25,65302.50
1394/05/26,65189.40
1394/05/27,65218.30
1394/05/30,65225
1394/05/31,64881.40
1394/06/01,64651.60
1394/06/02,64197.30
1394/06/03,64206.20
1394/06/06,64451.30
1394/06/07,64467.30
1394/06/08,64225.80
1394/06/09,64251
1394/06/10,64276.20
1394/06/13,64497
1394/06/14,64506.60
1394/06/15,64518.40
1394/06/16,64511.70
1394/06/17,63467.70
1394/06/20,63482.50
1394/06/21,62958.20
1394/06/22,62993
1394/06/23,62536.50
1394/06/24,62264.50
1394/06/27,62254.70
1394/06/28,61553.20
1394/06/29,61328
1394/06/30,61576.80
1394/06/31,61686
1394/07/03,61530.90
1394/07/04,61563
1394/07/05,61568.90
1394/07/06,61578.80
1394/07/07,61498.30
1394/07/10,61217.40
1394/07/11,61163.70
1394/07/12,61233.60
1394/07/13,61209.80
1394/07/14,61389.80
1394/07/17,61396.90
1394/07/18,61287.10
1394/07/19,61296.60
1394/07/20,61434.40
1394/07/21,61973.30
1394/07/24,62799.10
1394/07/25,63071.40
1394/07/26,63126.70
1394/07/27,63142
1394/07/28,63175
1394/08/02,62792.80
1394/08/03,62803.30
1394/08/04,62923
1394/08/05,62923.70
1394/08/08,62948.60
1394/08/09,62942.70
1394/08/10,62855.70
1394/08/11,62811.60
1394/08/12,62927.40
1394/08/15,63000.40
1394/08/16,62999.20
1394/08/17,63035.70
1394/08/18,63044.30
1394/08/19,63056.40
1394/08/22,63070.60
1394/08/23,63083.50
1394/08/24,63091.70
1394/08/25,63013.60
1394/08/26,62871.30
1394/08/29,62889
1394/08/30,62923.90
1394/09/01,62795.70
1394/09/02,62720.90
1394/09/03,62734.60
1394/09/06,62635.40
1394/09/07,62639.10
1394/09/08,62647.70
1394/09/09,62550
1394/09/13,62577.10
1394/09/14,62420.20
1394/09/15,62374.80
1394/09/16,62392.40
1394/09/17,62409.80
1394/09/21,62310.70
1394/09/22,62216.30
1394/09/23,62233.30
1394/09/24,62147.30
1394/09/27,61734
1394/09/28,61501.50
1394/09/29,61518.50
1394/09/30,61414.20
1394/10/01,61420.70
1394/10/04,61436.90
1394/10/05,61455.30
1394/10/06,61469.30
1394/10/08,61691
1394/10/11,61700.10
1394/10/12,61710.20
1394/10/13,61728.10
1394/10/14,62055.90
1394/10/15,62632.80
1394/10/18,62655
1394/10/19,62461
1394/10/20,62788.70
1394/10/21,62841.20
1394/10/22,63516.90
1394/10/25,64860.90
1394/10/26,65424.10
1394/10/27,65119.50
1394/10/28,66118.10
1394/10/29,66562.50
1394/11/02,66960.40
1394/11/03,67740.10
1394/11/04,68857.50
1394/11/05,70999.50
1394/11/06,71011
1394/11/09,71393.90
1394/11/10,71118.80
1394/11/11,72912.80
1394/11/12,73725.50
1394/11/13,73684
1394/11/16,74103.60
1394/11/17,74569.40
1394/11/18,75783.80
1394/11/19,78199.10
1394/11/20,77497.90
1394/11/23,76594.20
1394/11/24,76709.50
1394/11/25,77377.50
1394/11/26,77141.60
1394/11/27,77888
1394/11/30,77560.90
1394/12/01,77234.90
1394/12/02,77587.70
1394/12/03,77704
1394/12/04,77840.20
1394/12/07,78228.30
1394/12/08,77733.80
1394/12/09,77539.20
1394/12/10,77648.80
1394/12/11,77697.80
1394/12/14,78022.20
1394/12/15,78093
